Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,507501771,6510.990355114536,4428691,56.81785963025248,348582,6220390,79.80444918496829,14794,0.1897995175933374,1227,
United States of America,Americas,80174978,24221.854,293396,88.639,0,983872,297.24,2476,0.748,0
India,South-East Asia,43060086,3120.286,15806,1.145,2541,522223,37.842,258,0.019,30
Brazil,Americas,30345654,14276.316,95577,44.965,6957,662610,311.729,672,0.316,53
France,Europe,27497092,42277.618,515200,792.136,58954,141828,218.065,891,1.37,40
Germany,Europe,24200596,29098.898,662310,796.364,20084,134185,161.345,338,0.406,6
The United Kingdom,Europe,21933210,32308.884,101670,149.766,0,173352,255.357,703,1.036,0
Russian Federation,Europe,18144788,12433.518,60637,41.551,7651,375061,257.006,1348,0.924,159
Republic of Korea,Western Pacific,16929564,33020.935,576128,1123.732,34370,22243,43.385,1019,1.988,110
Italy,Europe,16136057,27055.088,423969,710.863,56848,162688,272.777,1001,1.678,79
Turkey,Europe,15018547,17807.343,23610,27.994,2277,98691,117.017,123,0.146,15
Spain,Europe,11786036,24900.454,68000,143.664,0,103908,219.527,209,0.442,0
Viet Nam,Western Pacific,10563502,10852.328,130955,134.536,8813,43013,44.189,69,0.071,9
Argentina,Americas,9072230,20073.182,11307,25.018,11307,128542,284.412,198,0.438,198
Netherlands,Europe,8035603,46161.504,13723,78.833,0,22206,127.565,45,0.259,0
Japan,Western Pacific,7660012,6056.472,285761,225.94,38450,29308,23.173,285,0.225,24
Iran (Islamic Republic of),Eastern Mediterranean,7212395,8586.905,7331,8.728,0,140896,167.747,96,0.114,0
Colombia,Americas,6091094,11970.81,1554,3.054,291,139771,274.692,26,0.051,6
Indonesia,South-East Asia,6044150,2209.736,3718,1.359,0,156100,57.07,197,0.072,0
Poland,Europe,5991464,15784.399,5947,15.667,267,115948,305.463,110,0.29,0
Mexico,Americas,5733514,4446.903,3943,3.058,1879,324117,251.385,123,0.095,84
Australia,Western Pacific,5489341,21526.925,292131,1145.617,26862,6989,27.408,212,0.831,19
Ukraine,Europe,4998517,11429.425,5353,12.24,224,108329,247.701,73,0.167,3
Malaysia,Western Pacific,4431073,13690.518,42048,129.914,4006,35499,109.68,78,0.241,8
Thailand,South-East Asia,4180868,5989.784,133915,191.855,14994,27899,39.97,893,1.279,124
Austria,Europe,4152751,46654.546,52079,585.087,5693,19448,218.491,90,1.011,4
Israel,Europe,4059493,46900.511,25471,294.274,3759,10670,123.274,3,0.035,0
Belgium,Europe,4015791,34851.915,18823,163.359,0,31319,271.809,53,0.46,0
Czechia,Europe,3896144,36433.198,13678,127.904,594,40083,374.82,74,0.692,0
Portugal,Europe,3791744,36827.676,49125,477.131,0,22162,215.251,88,0.855,0
South Africa,Africa,3762911,6344.62,21681,36.556,3222,100303,169.12,156,0.263,5
Philippines,Western Pacific,3684500,3362.351,1459,1.331,205,60182,54.92,213,0.194,3
Canada,Americas,3683788,9760.407,69338,183.715,0,38688,102.506,481,1.274,0
Switzerland,Europe,3579877,41363.778,1747,20.186,0,13132,151.734,1,0.012,0
Peru,Americas,3560095,10797.376,4956,15.031,752,212736,645.205,117,0.355,12
Chile,Americas,3546493,18552.29,16235,84.928,2030,57375,300.138,112,0.586,0
Greece,Europe,3277557,30578.319,39388,367.475,0,28867,269.318,279,2.603,0
Denmark,Europe,3110019,53411.396,11397,195.732,1005,6084,104.486,87,1.494,12
Romania,Europe,2888318,14943.05,6414,33.184,494,65427,338.494,90,0.466,6
Sweden,Europe,2498388,24191.396,1388,13.44,0,18689,180.962,4,0.039,0
Iraq,Eastern Mediterranean,2323707,5777.133,667,1.658,0,25201,62.654,3,0.007,0
Serbia,Europe,2001654,28897.636,5668,81.828,510,15956,230.355,29,0.419,3
Bangladesh,South-East Asia,1952532,1185.585,170,0.103,0,29127,17.686,1,0.001,0
Hungary,Europe,1894278,19389.661,14798,151.471,3325,46101,471.886,236,2.416,53
Slovakia,Europe,1775178,32525.088,9920,181.756,370,19852,363.731,93,1.704,13
Jordan,Eastern Mediterranean,1695432,16616.777,475,4.655,0,14059,137.791,4,0.039,0
Georgia,Europe,1654313,41470.053,1195,29.956,58,16800,421.14,7,0.175,0
Pakistan,Eastern Mediterranean,1527589,691.554,438,0.198,0,30368,13.748,5,0.002,0
Ireland,Europe,1509536,30406.974,6442,129.763,0,6996,140.922,42,0.846,0
Norway,Europe,1422579,26503.173,2762,51.457,0,2871,53.488,0,0,0
Kazakhstan,Europe,1394359,7426.004,126,0.671,10,19013,101.258,0,0,0
Singapore,Western Pacific,1182168,20206.819,21868,373.79,2044,1323,22.614,7,0.12,0
Morocco,Eastern Mediterranean,1164507,3154.943,162,0.439,0,16064,43.521,2,0.005,0
Bulgaria,Europe,1153129,16588.247,3682,52.967,237,36854,530.16,70,1.007,5
Croatia,Europe,1117735,27542.867,4218,103.939,560,15782,388.895,47,1.158,4
Cuba,Americas,1101220,9722.41,1484,13.102,0,8525,75.265,5,0.044,2
Lebanon,Eastern Mediterranean,1095959,16056.96,441,6.461,0,10369,151.917,10,0.147,0
Lithuania,Europe,1054874,37753.759,5057,180.989,254,9072,324.685,48,1.718,6
Tunisia,Eastern Mediterranean,1039532,8795.715,864,7.31,0,28533,241.424,24,0.203,0
China,Western Pacific,1017164,69.134,42306,2.875,8073,14881,1.011,247,0.017,64
Slovenia,Europe,1004472,47926.461,6988,333.419,491,7593,362.285,10,0.477,1
Finland,Europe,1000472,18107.134,9232,167.086,0,3638,65.843,0,0,0
Nepal,South-East Asia,978743,3359.129,69,0.237,0,11951,41.017,0,0,0
Belarus,Europe,977813,10347.971,3335,35.294,379,6926,73.296,25,0.265,4
Mongolia,Western Pacific,920436,28076.711,230,7.016,15,2108,64.302,0,0,0
Bolivia (Plurinational State of),Americas,904212,7746.17,304,2.604,0,21906,187.664,3,0.026,0
United Arab Emirates,Eastern Mediterranean,896372,9063.049,1108,11.203,0,2302,23.275,0,0,0
Uruguay,Americas,895775,25787.122,183,5.268,0,7197,207.184,4,0.115,0
New Zealand,Western Pacific,887205,18398.219,58338,1209.771,5747,644,13.355,80,1.659,8
Ecuador,Americas,867170,4915.079,383,2.171,0,35543,201.456,16,0.091,0
Costa Rica,Americas,847784,16642.41,2892,56.771,0,8383,164.562,26,0.51,0
Guatemala,Americas,842369,4701.883,4877,27.222,1892,17514,97.759,87,0.486,39
Latvia,Europe,817316,42843.566,4140,217.018,322,5728,300.261,28,1.468,0
Azerbaijan,Europe,792496,7816.178,134,1.322,20,9707,95.738,1,0.01,0
Panama,Americas,771486,17880.131,2892,67.026,481,8182,189.628,4,0.093,0
Saudi Arabia,Eastern Mediterranean,753124,2163.287,645,1.853,0,9075,26.067,7,0.02,0
Sri Lanka,South-East Asia,663160,3096.961,248,1.158,0,16502,77.064,6,0.028,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,656876,12876.352,259,5.077,0,5657,110.891,1,0.02,0
Paraguay,Americas,649034,9099.622,352,4.935,0,18795,263.511,9,0.126,0
Kuwait,Eastern Mediterranean,631076,14777.321,130,3.044,0,2555,59.828,0,0,0
Myanmar,South-East Asia,612749,1126.174,147,0.27,0,19434,35.718,0,0,0
Dominican Republic,Americas,578954,5337.01,180,1.659,0,4376,40.34,1,0.009,0
Estonia,Europe,570306,42913.19,2760,207.679,148,2533,190.598,11,0.828,1
Bahrain,Eastern Mediterranean,564617,33182.023,1858,109.193,0,1474,86.626,1,0.059,0
Venezuela (Bolivarian Republic of),Americas,522088,1836.015,54,0.19,0,5705,20.063,4,0.014,0
Republic of Moldova,Europe,516986,12815.834,542,13.436,0,11489,284.807,7,0.174,0
Puerto Rico,Americas,516612,18057.971,25661,896.97,4039,4190,146.46,6,0.21,0
Egypt,Eastern Mediterranean,515645,503.882,3668,3.584,0,24613,24.052,91,0.089,0
Libya,Eastern Mediterranean,501862,7303.75,0,0,0,6429,93.563,0,0,0
Ethiopia,Africa,470434,409.203,161,0.14,17,7510,6.533,1,0.001,0
Cyprus,Europe,470319,52963.553,6115,688.622,0,1006,113.288,18,2.027,0
Armenia,Europe,422828,14269.14,58,1.957,3,8622,290.966,0,0,0
Honduras,Americas,422469,4265.379,810,8.178,0,10893,109.979,2,0.02,0
Oman,Eastern Mediterranean,388995,7617.456,152,2.977,0,4257,83.362,0,0,0
Bosnia and Herzegovina,Europe,376813,11485.347,311,9.479,22,15761,480.399,9,0.274,1
Réunion,Africa,374295,41806.097,13850,1546.947,0,742,82.876,11,1.229,0
Qatar,Eastern Mediterranean,363905,12630.972,462,16.036,0,677,23.498,0,0,0
Kenya,Africa,323709,602.011,95,0.177,13,5649,10.506,0,0,0
Zambia,Africa,318984,1735.122,469,2.551,0,3974,21.617,1,0.005,0
North Macedonia,Europe,309062,14834.644,462,22.176,0,9271,444.998,8,0.384,0
Botswana,Africa,305859,13006.272,0,0,0,2688,114.304,0,0,0
Albania,Europe,274828,9549.934,324,11.259,37,3496,121.482,0,0,0
Algeria,Africa,265767,606.068,28,0.064,6,6875,15.678,1,0.002,1
Nigeria,Africa,255685,124.035,37,0.018,0,3143,1.525,0,0,0
Zimbabwe,Africa,247554,1665.581,276,1.857,30,5468,36.79,5,0.034,0
Uzbekistan,Europe,238503,712.604,190,0.568,34,1637,4.891,0,0,0
Montenegro,Europe,234702,37369.241,486,77.381,88,2713,431.964,4,0.637,2
Luxembourg,Europe,233966,37368.313,3027,483.463,0,1058,168.98,4,0.639,0
Kosovo[1],Europe,227933,12693.508,115,6.404,23,3128,174.197,0,0,0
Mozambique,Africa,225365,721.043,36,0.115,7,2201,7.042,1,0.003,0
Mauritius,Africa,220344,17325.802,0,0,0,990,77.844,0,0,0
Lao People's Democratic Republic,Western Pacific,205271,2821.377,5081,69.837,378,732,10.061,14,0.192,0
Kyrgyzstan,Europe,200990,3080.688,10,0.153,7,2991,45.845,0,0,0
Iceland,Europe,185074,50825.795,516,141.706,0,114,31.307,4,1.098,0
Maldives,South-East Asia,178883,33093.143,0,0,0,298,55.13,0,0,0
Afghanistan,Eastern Mediterranean,178611,458.82,224,0.575,0,7680,19.729,4,0.01,0
Uganda,Africa,164054,358.658,49,0.107,0,3597,7.864,0,0,0
El Salvador,Americas,162089,2498.981,0,0,0,4127,63.627,3,0.046,0
Ghana,Africa,161124,518.535,7,0.023,0,1445,4.65,0,0,0
Namibia,Africa,158280,6229.277,178,7.005,0,4022,158.29,0,0,0
Martinique,Americas,150077,39992.272,818,217.979,0,918,244.627,0,0,0
Guadeloupe,Americas,147607,36890.314,2379,594.566,0,942,235.427,1,0.25,0
Trinidad and Tobago,Americas,144359,10315.13,2137,152.699,475,3812,272.385,12,0.857,1
Brunei Darussalam,Western Pacific,141119,32257.32,1096,250.526,105,158,36.116,0,0,0
Cambodia,Western Pacific,136216,814.739,156,0.933,16,3056,18.279,1,0.006,0
Rwanda,Africa,129785,1002.029,16,0.124,0,1459,11.264,0,0,0
Jamaica,Americas,129441,4371.283,203,6.855,0,2941,99.319,12,0.405,0
Cameroon,Africa,119780,451.219,0,0,0,1927,7.259,0,0,0
Angola,Africa,99287,302.094,0,0,0,1900,5.781,0,0,0
Malta,Europe,90595,17606.168,1766,343.203,196,688,133.705,13,2.526,1
Democratic Republic of the Congo,Africa,86767,96.88,0,0,0,1337,1.493,0,0,0
Senegal,Africa,85988,513.547,20,0.119,4,1967,11.748,2,0.012,1
Malawi,Africa,85747,448.234,19,0.099,0,2633,13.764,2,0.01,0
